,artist,album,track_name,track_id,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1187,Ryan Caraveo,Butterfly Boy,Peanut Butter Waffles,1qRabaD5y56JZzQSm4qB0n,2019,False,63,0.688,0.592,C#/Db,-8.759,Major,0.0347,3.31e-06,0.11,0.394,149.998,3.2266666666666666,4
1188,Annika Wells,Fuck Being Sober,Fuck Being Sober,1aBCdCoHR7AwWQbiWEHdzA,2021,True,57,0.69,0.55,G#/Ab,-6.633,Major,0.173,0.0,0.509,0.385,180.007,3.53695,4
1189,Stylez Major,My Darkest Hour / My Brightest Light,Drowning (feat. Alex Marie Brinkley),7g5ia15jE5HufyNp84WTDv,2018,True,36,0.533,0.801,A,-3.549,Major,0.116,0.0,0.0754,0.367,92.286,3.096,4
1190,sKitz Kraven,Breathe,Breathe,3Vk8eeYEvGYB542uZVJHyB,2019,True,54,0.685,0.594,G,-6.991,Minor,0.18,0.000276,0.136,0.32,83.006,2.7317833333333335,4
1191,Truth,You Will,You Will,02n3STK8iVTYrTLFJbHgsK,2020,False,8,0.797,0.399,A#/Bb,-7.591,Minor,0.0567,0.0043,0.105,0.16,114.069,2.4934166666666666,4
1192,Dtrue,HopeLess,Promises,1hUeP6B2wcsUKddRzw3tsV,2019,True,31,0.727,0.426,F,-17.165,Minor,0.462,0.000919,0.133,0.433,63.469,2.3622,4
1193,James Mercy,Learn To Love Again,Learn To Love Again,2UVKFAzSS7UnoT9OaMZ3Fa,2018,True,45,0.578,0.835,F#/Gb,-5.325,Major,0.0477,0.000322,0.396,0.381,106.972,3.517516666666667,4
1194,Clayton Jennings,Goodbye Religion,Dear Anxiety,2UYLRWh4H4m4vqEzpk5ujo,2018,False,48,0.657,0.569,A,-6.712,Minor,0.235,0.0,0.174,0.41,98.777,4.78565,4
1195,Alec Benjamin,Narrated For You,1994,5Ys68FZdQFcFw7IgkANVoM,2018,False,61,0.772,0.613,G#/Ab,-6.185,Major,0.0692,3.52e-06,0.206,0.862,87.022,3.0686833333333334,4
1196,Call Me Karizma,Quarantine With Me,Quarantine With Me,6P3HrO8luffLqdr7DlpxHi,2020,False,44,0.871,0.67,F,-6.529,Major,0.0945,0.0,0.342,0.785,133.96,2.6865666666666668,4
